Date,Package,Title
2019-01-13,colorspace,A Toolbox for Manipulating and Assessing Colors and Palettes
2019-01-13,Compositional,Compositional Data Analysis
2019-01-13,crypto,Cryptocurrency Market Data
2019-01-13,data.table,Extension of 'data.frame'
2019-01-13,earthtones,Derive a Color Palette from a Particular Location on Earth
2019-01-13,exifr,EXIF Image Data in R
2019-01-13,fromo,Fast Robust Moments
2019-01-13,KDViz,Knowledge Domain Visualization
2019-01-13,mgsub,"Safe, Multiple, Simultaneous String Substitution"
2019-01-13,petro.One,"Statistics and Text Mining for Oil and Gas Papers from OnePetro
Metadata"
2019-01-13,SACCR,SA Counterparty Credit Risk under Basel III
2019-01-13,shinyanimate,Animation for 'shiny' Elements
2019-01-13,simTool,Conduct Simulation Studies with a Minimal Amount of Source Code
2019-01-13,skimr,Compact and Flexible Summaries of Data
2019-01-13,systemicrisk,A Toolbox for Systemic Risk
2019-01-13,vcr,Record 'HTTP' Calls to Disk
2019-01-13,xptr,Manipulating External Pointer
2019-01-12,babynames,US Baby Names 1880-2017
2019-01-12,bedr,"Genomic Region Processing using Tools Such as 'BEDTools',
'BEDOPS' and 'Tabix'"
2019-01-12,canvasXpress,Visualization Package for CanvasXpress in R
2019-01-12,colordistance,Distance Metrics for Image Color Similarity
2019-01-12,comperes,Manage Competition Results
2019-01-12,countcolors,Locates and Counts Pixels Within Color Range(s) in Images
2019-01-12,CPBayes,"Bayesian Meta Analysis for Studying Cross-Phenotype Genetic
Associations"
2019-01-12,cytometree,Automated Cytometry Gating and Annotation
2019-01-12,datarobot,'DataRobot' Predictive Modeling API
2019-01-12,DHS.rates,Calculates Demographic Indicators
2019-01-12,GetDFPData,"Reading Annual Financial Reports from Bovespa's DFP, FRE and FCA
System"
2019-01-12,ggformula,Formula Interface to the Grammar of Graphics
2019-01-12,lolog,Latent Order Logistic Graph Models
2019-01-12,mosaic,Project MOSAIC Statistics and Mathematics Teaching Utilities
2019-01-12,orsk,"Converting Odds Ratio to Relative Risk in Cohort Studies with
Partial Data Information"
2019-01-12,psych,"Procedures for Psychological, Psychometric, and Personality
Research"
2019-01-12,RNOmni,Rank Normal Transformation Omnibus Test
2019-01-12,spongebob,Spongebob-Case Converter : spOngEboB-CASe CoNVertOR
2019-01-12,sundialr,"An Interface to 'SUNDIALS' Ordinary Differential Equation (ODE)
Solvers"
2019-01-12,tibble,Simple Data Frames
2019-01-12,Trading,"Trades, Curves, Rating Tables, Add-on Tables, CSAs"
2019-01-12,vein,Vehicular Emissions Inventories
2019-01-12,whitening,Whitening and High-Dimensional Canonical Correlation Analysis
2019-01-11,beginr,Functions for R Beginners
2019-01-11,bibliometrix,An R-Tool for Comprehensive Science Mapping Analysis
2019-01-11,blavaan,Bayesian Latent Variable Analysis
2019-01-11,blocksdesign,"Nested and Crossed Block Designs for Factorial, Fractional
Factorial and Unstructured Treatment Sets"
2019-01-11,BMTME,"Bayesian Multi-Trait Multi-Environment for Genomic Selection
Analysis"
2019-01-11,clipr,Read and Write from the System Clipboard
2019-01-11,cliqueMS,"Annotation of Isotopes, Adducts and Fragmentation Adducts for
in-Source LC/MS Metabolomics Data"
2019-01-11,clr,Curve Linear Regression via Dimension Reduction
2019-01-11,CluMP,Clustering of Micro Panel Data
2019-01-11,ClusterR,"Gaussian Mixture Models, K-Means, Mini-Batch-Kmeans, K-Medoids
and Affinity Propagation Clustering"
2019-01-11,cPCG,"Efficient and Customized Preconditioned Conjugate Gradient
Method for Solving System of Linear Equations"
2019-01-11,DirichletReg,Dirichlet Regression in R
2019-01-11,dynamichazard,Dynamic Hazard Models using State Space Models
2019-01-11,econetwork,Analyzing Ecological Networks
2019-01-11,enrichwith,Methods to Enrich R Objects with Extra Components
2019-01-11,epubr,Read EPUB File Metadata and Text
2019-01-11,estmeansd,"Estimating the Sample Mean and Standard Deviation from Commonly
Reported Quantiles in Meta-Analysis"
2019-01-11,FedData,"Functions to Automate Downloading Geospatial Data Available from
Several Federated Data Sources"
2019-01-11,FLSSS,"Mining Rigs for Specialized Subset Sum, Multi-Subset Sum,
Multidimensional Subset Sum, Multidimensional Knapsack,
Generalized Assignment Problems"
2019-01-11,FMAdist,Frequentist Model Averaging Distribution
2019-01-11,forestSAS,Forest Spatial Structure Analysis Systems
2019-01-11,ggdark,Dark Mode for 'ggplot2' Themes
2019-01-11,GGIR,Raw Accelerometer Data Analysis
2019-01-11,glmmTMB,Generalized Linear Mixed Models using Template Model Builder
2019-01-11,GMSimpute,Generalized Mass Spectrum Missing Peaks Abundance Imputation
2019-01-11,GPM,"Gaussian Process Modeling of Multi-Response and Possibly Noisy
Datasets"
2019-01-11,HiClimR,Hierarchical Climate Regionalization
2019-01-11,HydeNet,Hybrid Bayesian Networks Using R and JAGS
2019-01-11,imagerExtra,Extra Image Processing Library Based on 'imager'
2019-01-11,ipc,Tools for Message Passing Between Processes
2019-01-11,jointseg,Joint Segmentation of Multivariate (Copy Number) Signals
2019-01-11,LVGP,"Latent Variable Gaussian Process Modeling with Qualitative and
Quantitative Input Variables"
2019-01-11,mdmb,Model Based Treatment of Missing Data
2019-01-11,MeTo,Meteorological Tools
2019-01-11,mimi,Main Effects and Interactions in Mixed and Incomplete Data
2019-01-11,mudata2,Interchange Tools for Multi-Parameter Spatiotemporal Data
2019-01-11,pcLasso,Principal Components Lasso
2019-01-11,pinp,'pinp' is not 'PNAS'
2019-01-11,pixiedust,Tables so Beautifully Fine-Tuned You Will Believe It's Magic
2019-01-11,pkgcache,Cache 'CRAN'-Like Metadata and R Packages
2019-01-11,pmhtutorial,Minimal Working Examples for Particle Metropolis-Hastings
2019-01-11,prithulib,Perform Random Experiments
2019-01-11,RDFTensor,"Different Tensor Factorization (Decomposition) Techniques for
RDF Tensors (Three-Mode-Tensors)"
2019-01-11,RLumShiny,'Shiny' Applications for the R Package 'Luminescence'
2019-01-11,rsoi,Import Various Northern and Southern Hemisphere Climate Indices
2019-01-11,rtrek,Datasets and Functions Relating to Star Trek
2019-01-11,RVAideMemoire,Testing and Plotting Procedures for Biostatistics
2019-01-11,states,Create Panels of Independent States
2019-01-11,suropt,Surrogate-Based Optimization
2019-01-11,tor,Import Multiple Files From a Single Directory at Once
2019-01-11,TPES,Tumor Purity Estimation using SNVs
2019-01-11,tsutils,"Time Series Exploration, Modelling and Forecasting"
2019-01-11,voronoiTreemap,Voronoi Treemaps with Added Interactivity by Shiny
2019-01-11,wdpar,Interface to the World Database on Protected Areas
2019-01-10,baRcodeR,"Labelling, Tracking, and Collecting Data from Biological Samples"
2019-01-10,BiProbitPartial,Bivariate Probit with Partial Observability
2019-01-10,BoltzMM,Boltzmann Machines with MM Algorithms
2019-01-10,crunch,Crunch.io Data Tools
2019-01-10,curl,A Modern and Flexible Web Client for R
2019-01-10,dlsem,Distributed-Lag Linear Structural Equation Models
2019-01-10,DtD,Distance to Default
2019-01-10,fExpressCertificates,"Structured Products Valuation for
ExpressCertificates/Autocallables"
2019-01-10,GA,Genetic Algorithms
2019-01-10,geojsonsf,GeoJSON to Simple Feature Converter
2019-01-10,h2o,R Interface for 'H2O'
2019-01-10,hansard,Provides Easy Downloading Capabilities for the UK Parliament API
2019-01-10,hetGP,"Heteroskedastic Gaussian Process Modeling and Design under
Replication"
2019-01-10,hexSticker,Create Hexagon Sticker in R
2019-01-10,jsonify,Converts 'R' Objects to Javascript Object Notation (JSON)
2019-01-10,KeyboardSimulator,Keyboard and Mouse Input Simulation for Windows OS
2019-01-10,laeken,Estimation of Indicators on Social Exclusion and Poverty
2019-01-10,lessR,"Less Code, More Results"
2019-01-10,liquidSVM,A Fast and Versatile SVM Package
2019-01-10,mlrCPO,"Composable Preprocessing Operators and Pipelines for Machine
Learning"
2019-01-10,NITPicker,Finds the Best Subset of Points to Sample
2019-01-10,nprobust,"Nonparametric Robust Estimation and Inference Methods using
Local Polynomial Regression and Kernel Density Estimation"
2019-01-10,poweRlaw,Analysis of Heavy Tailed Distributions
2019-01-10,qrandom,True Random Numbers using the ANU Quantum Random Numbers Server
2019-01-10,rdbnomics,Download DBnomics Data
2019-01-10,rmdformats,HTML Output Formats and Templates for 'rmarkdown' Documents
2019-01-10,rsconnect,"Deployment Interface for R Markdown Documents and Shiny
Applications"
2019-01-10,showtext,Using Fonts More Easily in R Graphs
2019-01-10,sjlabelled,Labelled Data Utility Functions
2019-01-10,soundgen,Parametric Voice Synthesis
2019-01-10,spatsoc,"Group Animal Relocation Data by Spatial and Temporal
Relationship"
2019-01-10,spatstat,"Spatial Point Pattern Analysis, Model-Fitting, Simulation, Tests"
2019-01-10,SSDforR,Functions to Analyze Single System Data
2019-01-10,statGraph,Statistical Methods for Graphs
2019-01-10,TableToLongForm,"Automatically Convert Hierarchical for-Human Tables to
Machine-Readable LongForm Dataframes"
2019-01-10,tidypredict,Run Predictions Inside the Database
2019-01-10,tinytex,"Helper Functions to Install and Maintain 'TeX Live', and Compile
'LaTeX' Documents"
2019-01-10,vennLasso,Variable Selection for Heterogeneous Populations
2019-01-09,ARpLMEC,Fitting Autoregressive Censored Linear Mixed-Effects Models
2019-01-09,asbio,A Collection of Statistical Tools for Biologists
2019-01-09,asremlPlus,"Augments 'ASReml-R' in Fitting Mixed Models and Packages
Generally in Exploring Prediction Differences"
2019-01-09,blogdown,Create Blogs and Websites with R Markdown
2019-01-09,cdcsis,"Conditional Distance Correlation Based Feature Screening and
Conditional Independence Inference"
2019-01-09,curvHDR,Filtering of Flow Cytometry Samples
2019-01-09,dbplyr,A 'dplyr' Back End for Databases
2019-01-09,demoGraphic,"Providing Demographic Table with the P-Value, Standardized Mean
Difference Value"
2019-01-09,diffdf,Dataframe Difference Tool
2019-01-09,disclapmix,Discrete Laplace Mixture Inference using the EM Algorithm
2019-01-09,docxtractr,"Extract Data Tables and Comments from 'Microsoft' 'Word'
Documents"
2019-01-09,dodgr,Distances on Directed Graphs
2019-01-09,dsr,"Compute Directly Standardized Rates, Ratios and Differences"
2019-01-09,dynsbm,Dynamic Stochastic Block Models
2019-01-09,ellipsis,Tools for Working with ...
2019-01-09,esreg,Joint Quantile and Expected Shortfall Regression
2019-01-09,ggeffects,"Create Tidy Data Frames of Marginal Effects for 'ggplot' from
Model Outputs"
2019-01-09,GLIDE,Global and Individual Tests for Direct Effects
2019-01-09,Gmisc,"Descriptive Statistics, Transition Plots, and More"
2019-01-09,KSPM,Kernel Semi-Parametric Models
2019-01-09,longitudinalcascade,Longitudinal Cascade
2019-01-09,mergedblocks,Merged Block Randomization
2019-01-09,nomisr,Access 'Nomis' UK Labour Market Data
2019-01-09,ODEsensitivity,Sensitivity Analysis of Ordinary Differential Equations
2019-01-09,pdfsearch,Search Tools for PDF Files
2019-01-09,phonics,Phonetic Spelling Algorithms
2019-01-09,plotKML,"Visualization of Spatial and Spatio-Temporal Objects in Google
Earth"
2019-01-09,prereg,R Markdown Templates to Preregister Scientific Studies
2019-01-09,psychmeta,Psychometric Meta-Analysis Toolkit
2019-01-09,RcppCWB,'Rcpp' Bindings for the 'Corpus Workbench' ('CWB')
2019-01-09,rmd,Easily Install and Load the R Markdown Family
2019-01-09,rstudioapi,Safely Access the RStudio API
2019-01-09,scriptuRs,Complete Text of the LDS Scriptures
2019-01-09,SDALGCP,"Spatially Discrete Approximation to Log-Gaussian Cox Processes
for Aggregated Disease Count Data"
2019-01-09,SILM,Simultaneous Inference for Linear Models
2019-01-09,simmer,Discrete-Event Simulation for R
2019-01-09,simmer.bricks,Helper Methods for 'simmer' Trajectories
2019-01-09,sparklyr,R Interface to Apache Spark
2019-01-09,spm12r,"Wrapper Functions for 'SPM' (Statistical Parametric Mapping)
Version 12 from the 'Wellcome' Trust Centre for 'Neuroimaging'"
2019-01-09,tbd,Estimation of Causal Effects with Outcomes Truncated by Death
2019-01-09,textmineR,Functions for Text Mining and Topic Modeling
2019-01-09,tidycensus,"Load US Census Boundary and Attribute Data as 'tidyverse' and
'sf'-Ready Data Frames"
2019-01-09,tools4uplift,Tools for Uplift Modeling
2019-01-09,treestartr,"Generate Starting Trees for Combined Molecular, Morphological
and Stratigraphic Data"
2019-01-09,trelliscopejs,Create Interactive Trelliscope Displays
2019-01-09,vagam,Variational Approximations for Generalized Additive Models
2019-01-09,webmockr,Stubbing and Setting Expectations on 'HTTP' Requests
2019-01-09,wfe,"Weighted Linear Fixed Effects Regression Models for Causal
Inference"
2019-01-09,xplorerr,Tools for Interactive Data Exploration
2019-01-09,yaImpute,Nearest Neighbor Observation Imputation and Evaluation Tools
2019-01-08,analysisPipelines,"Compose Interoperable Analysis Pipelines & Put Them in
Production"
2019-01-08,astrochron,A Computational Tool for Astrochronology
2019-01-08,badger,Badge for R Package
2019-01-08,bamp,Bayesian Age-Period-Cohort Modeling and Prediction
2019-01-08,blockmodeling,Generalized and Classical Blockmodeling of Valued Networks
2019-01-08,CARBayesST,"Spatio-Temporal Generalised Linear Mixed Models for Areal Unit
Data"
2019-01-08,childsds,Data and Methods Around Reference Values in Pediatrics
2019-01-08,ciTools,"Confidence or Prediction Intervals, Quantiles, and Probabilities
for Statistical Models"
2019-01-08,clifro,Easily Download and Visualise Climate Data from CliFlo
2019-01-08,codebook,Automatic Codebooks from Survey Metadata Encoded in Attributes
2019-01-08,copBasic,General Bivariate Copula Theory and Many Utility Functions
2019-01-08,cowplot,Streamlined Plot Theme and Plot Annotations for 'ggplot2'
2019-01-08,curveDepth,Tukey Curve Depth and Distance in the Space of Curves
2019-01-08,ddsPLS,Multi-Data-Driven Sparse PLS Robust to Missing Samples
2019-01-08,decoder,Decode Coded Variables to Plain Text and the Other Way Around
2019-01-08,divDyn,Diversity Dynamics using Fossil Sampling Data
2019-01-08,elec,Collection of Functions for Statistical Election Audits
2019-01-08,ethnobotanyR,Calculate Quantitative Ethnobotany Indices
2019-01-08,fabMix,"Overfitting Bayesian Mixtures of Factor Analyzers with
Parsimonious Covariance and Unknown Number of Components"
2019-01-08,FastGaSP,Fast and Exact Computation of Gaussian Stochastic Process
2019-01-08,frapplot,Automatic Data Processing and Visualization for FRAP
2019-01-08,fRLR,Fit Repeated Linear Regressions
2019-01-08,germanpolls,German Polling Data
2019-01-08,gethr,Access to Ethereum-Based Blockchains Through Geth Nodes
2019-01-08,gets,"General-to-Specific (GETS) Modelling and Indicator Saturation
Methods"
2019-01-08,hitandrun,"""Hit and Run"" and ""Shake and Bake"" for Sampling Uniformly from
Convex Shapes"
2019-01-08,hR,Toolkit for Data Analytics in Human Resources
2019-01-08,icesTAF,Functions to Support the ICES Transparent Assessment Framework
2019-01-08,ISEtools,Tools for Ion Selective Electrodes
2019-01-08,lemon,Freshing Up your 'ggplot2' Plots
2019-01-08,nasapower,NASA POWER API Client
2019-01-08,ontologyIndex,Functions for Reading Ontologies into R
2019-01-08,OptM,Estimating the Optimal Number of Migration Edges from 'Treemix'
2019-01-08,paleofire,Analysis of Charcoal Records from the Global Charcoal Database
2019-01-08,piggyback,Managing Larger Data on a GitHub Repository
2019-01-08,plotlyGeoAssets,Render 'Plotly' Maps without an Internet Connection
2019-01-08,pmsampsize,"Calculates the Minimum Sample Size Required for Developing a
Multivariable Prediction Model"
2019-01-08,polmineR,Toolkit for Corpus Analysis
2019-01-08,PPRL,Privacy Preserving Record Linkage
2019-01-08,provViz,Provenance Visualizer
2019-01-08,pzfx,Read and Write 'GraphPad Prism' Files
2019-01-08,QHOT,QTL Hotspot Detection
2019-01-08,rangemodelR,Mid-Domain Effect and Species Richness
2019-01-08,RANN,"Fast Nearest Neighbour Search (Wraps ANN Library) Using L2
Metric"
2019-01-08,rbi,R Interface to LibBi
2019-01-08,ResourceSelection,"Resource Selection (Probability) Functions for Use-Availability
Data"
2019-01-08,revengc,Reverse Engineering Summarized Data
2019-01-08,riskParityPortfolio,Design of Risk Parity Portfolios
2019-01-08,rlang,Functions for Base Types and Core R and 'Tidyverse' Features
2019-01-08,RStoolbox,Tools for Remote Sensing Data Analysis
2019-01-08,ruimtehol,Learn Text 'Embeddings' with 'Starspace'
2019-01-08,rv,Simulation-Based Random Variable Objects
2019-01-08,scrobbler,Download 'Scrobbles' from 'Last.fm'
2019-01-08,seqminer,"Efficiently Read Sequence Data (VCF Format, BCF Format, METAL
Format and BGEN Format) into R"
2019-01-08,Sequential,Exact Sequential Analysis for Poisson and Binomial Data
2019-01-08,snotelr,Calculate and Visualize 'SNOTEL' Snow Data and Seasonality
2019-01-08,spbabel,Convert Spatial Data Using Tidy Tables
2019-01-08,statnet.common,"Common R Scripts and Utilities Used by the Statnet Project
Software"
2019-01-08,vegclust,Fuzzy Clustering of Vegetation Data
2019-01-08,vitae,Curriculum Vitae for R Markdown
2019-01-08,vtree,Display Information About Nested Subsets of a Data Frame
2019-01-07,agricolae,Statistical Procedures for Agricultural Research
2019-01-07,apa,Format Outputs of Statistical Tests According to APA Guidelines
2019-01-07,badgecreatr,"Create Badges for 'Travis', 'Repostatus' 'Codecov.io' Etc in
Github Readme"
2019-01-07,basictabler,Construct Rich Tables for Output to 'HTML'/'Excel'
2019-01-07,BCDating,Business Cycle Dating and Plotting Tools
2019-01-07,bgsmtr,Bayesian Group Sparse Multi-Task Regression
